,Sid,Income,Outcome,Ratio,Borough
392,3114,75.0,78.0,0.490196078431,Brooklyn
393,3105,63.0,54.0,0.538461538462,Brooklyn
394,3059,15.0,18.0,0.454545454545,Brooklyn
395,3055,39.0,42.0,0.481481481481,Brooklyn
396,3053,41.0,37.0,0.525641025641,Brooklyn
397,3057,40.0,38.0,0.512820512821,Brooklyn
398,3056,30.0,33.0,0.47619047619,Brooklyn
399,3054,43.0,45.0,0.488636363636,Brooklyn
400,3050,55.0,43.0,0.561224489796,Brooklyn
401,3048,45.0,54.0,0.454545454545,Brooklyn
402,3052,37.0,45.0,0.451219512195,Brooklyn
403,278,139.0,134.0,0.509157509158,Brooklyn
404,271,3.0,2.0,0.6,Brooklyn
405,3222,192.0,222.0,0.463768115942,Brooklyn
406,3223,266.0,247.0,0.518518518519,Manhattan
407,3058,40.0,45.0,0.470588235294,Brooklyn
408,3128,16.0,16.0,0.5,Queens
409,3046,23.0,28.0,0.450980392157,Brooklyn
410,3047,34.0,37.0,0.478873239437,Brooklyn
411,3041,16.0,21.0,0.432432432432,Brooklyn
412,3044,27.0,23.0,0.54,Brooklyn
413,3043,29.0,34.0,0.460317460317,Brooklyn
414,3042,30.0,29.0,0.508474576271,Brooklyn
415,3049,19.0,16.0,0.542857142857,Brooklyn
416,3133,60.0,56.0,0.51724137931,Manhattan
417,3158,58.0,52.0,0.527272727273,Manhattan
418,3224,69.0,52.0,0.570247933884,Manhattan
419,3165,0.0,1.0,0.0,Manhattan
420,3164,0.0,1.0,0.0,Manhattan
